gardiner_code,gardiner_source,unicode_cp,unicode,unikemet_code,jsesh_code,category,description,function,core
A1,kEH_HG,13000,U+13000,A001,A1,A-01-001,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,C
A2,kEH_HG,13001,U+13001,A002,A2,A-01-027,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,C
A3,kEH_HG,13002,U+13002,A003,A3,A-01-005,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",Classifier sitting,C
A4,kEH_HG,13003,U+13003,A004,A4,A-01-040,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",Classifier supplication/hiding/rejection,C
A5,kEH_HG,13004,U+13004,A005,A5,A-11-002,,,C
A5A,kEH_HG,13005,U+13005,A005A,A5A,A-11-003,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",Logogram (to hide),C
A6,kEH_HG,13006,U+13006,A006,A6,A-09-001,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.","Logogram (pure, clean)",C
,,13007,U+13007,A006A,,A-09-011,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",Classifier to libate,C
US1A6BEXTU,kEH_JSesh,13008,U+13008,A006B,US1A6BEXTU,A-09-005,,,C
A7,kEH_HG,13009,U+13009,A007,A7,A-01-036,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",Classifier sitting/weak/faint,C
A8,kEH_JSesh,1300A,U+1300A,A008,A8,A-01-059,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier joy/veneration,C
A9,kEH_HG,1300B,U+1300B,A009,A9,A-07-021,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.","Classifier to lift, to carry",C
A10,kEH_HG,1300C,U+1300C,A010,A10,A-12-042,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,C
A11,kEH_HG,1300D,U+1300D,A011,A11,A-07-041,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,C
A12,kEH_HG,1300E,U+1300E,A012,A12,A-17-003,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),C
